,in,out,init_soc
391,14.0,11.0,0.5
392,19.0,13.0,0.5
393,18.0,12.0,0.6
394,14.0,15.0,0.9
395,21.0,10.0,0.8
396,17.0,10.0,0.7
397,11.0,10.0,0.4
398,14.0,9.0,0.5
399,21.0,11.0,0.6
400,19.0,9.0,0.7
401,15.0,12.0,0.9
402,21.0,9.0,1.0
403,16.0,8.0,0.3
404,16.0,11.0,0.6
405,20.0,11.0,0.4
406,13.0,14.0,0.6
407,20.0,11.0,0.4
408,10.0,9.0,0.8
409,18.0,9.0,0.4
410,17.0,9.0,0.8
411,19.0,9.0,0.3
412,2.0,8.0,0.8
413,17.0,11.0,0.2
414,19.0,13.0,0.6
415,13.0,10.0,0.4
416,18.0,9.0,1.0
417,22.0,13.0,0.1
418,17.0,12.0,0.7
419,19.0,9.0,0.9
420,15.0,8.0,0.2
421,12.0,13.0,0.9
422,16.0,11.0,0.2
423,15.0,13.0,1.0
424,21.0,6.0,0.8
425,14.0,9.0,0.5
426,15.0,9.0,0.4
427,18.0,10.0,0.6
428,13.0,10.0,0.4
429,0.0,9.0,0.1
430,18.0,6.0,0.2
431,17.0,11.0,0.6
432,21.0,15.0,0.7
433,16.0,10.0,0.8
434,19.0,10.0,0.7
435,13.0,12.0,0.9
436,15.0,9.0,0.5
437,21.0,12.0,0.8
438,15.0,12.0,0.6
439,18.0,12.0,0.4
440,18.0,9.0,0.9
441,14.0,8.0,0.2
442,19.0,9.0,0.3
443,20.0,8.0,0.5
444,15.0,13.0,0.2
445,20.0,13.0,0.4
446,12.0,11.0,0.1
447,15.0,13.0,0.1
448,19.0,7.0,0.4
449,13.0,12.0,0.4
450,19.0,13.0,0.8
451,23.0,10.0,0.6
452,22.0,12.0,0.3
453,13.0,11.0,0.4
454,19.0,12.0,0.6
455,16.0,7.0,0.6
456,13.0,9.0,0.5
457,14.0,10.0,0.5
458,15.0,9.0,0.9
459,20.0,10.0,0.1
460,19.0,8.0,0.4
461,19.0,6.0,0.2
462,19.0,9.0,0.5
463,13.0,10.0,0.4
464,21.0,11.0,0.2
465,13.0,7.0,0.1
466,19.0,10.0,0.3
467,17.0,12.0,0.7
468,17.0,11.0,0.1
469,21.0,9.0,0.5
470,17.0,8.0,0.3
471,13.0,9.0,0.9
472,16.0,11.0,0.2
473,20.0,10.0,0.6
474,14.0,8.0,0.9
475,11.0,9.0,0.7
476,15.0,12.0,0.8
477,16.0,8.0,0.2
478,18.0,10.0,0.4
479,16.0,11.0,0.5
480,15.0,6.0,0.6
481,11.0,10.0,0.7
482,16.0,14.0,0.5
483,15.0,10.0,0.2
484,17.0,10.0,0.3
485,13.0,8.0,0.4
486,12.0,8.0,0.5
487,16.0,10.0,0.3
488,16.0,10.0,0.5
489,16.0,10.0,0.4
490,15.0,9.0,0.2
491,17.0,10.0,0.9
492,14.0,10.0,0.6
493,20.0,10.0,0.8
494,16.0,10.0,0.7
495,17.0,12.0,0.5
496,15.0,10.0,0.7
497,20.0,12.0,0.9
498,19.0,8.0,0.3
499,13.0,13.0,0.3
500,21.0,8.0,0.3
501,15.0,10.0,0.4
502,16.0,8.0,0.7
503,19.0,10.0,0.9
504,18.0,8.0,0.4
505,13.0,12.0,0.4
506,19.0,10.0,0.5
507,18.0,6.0,0.8
508,14.0,13.0,0.1
509,11.0,16.0,0.8
510,17.0,14.0,0.8
511,17.0,10.0,0.8
512,16.0,15.0,0.7
513,15.0,8.0,1.0
514,11.0,13.0,0.8
515,19.0,9.0,0.4
516,18.0,10.0,0.6
517,15.0,11.0,0.6
518,13.0,8.0,0.4
519,23.0,11.0,0.3
520,15.0,9.0,0.7
521,11.0,7.0,0.7
522,22.0,9.0,0.6
523,18.0,8.0,0.7
524,18.0,7.0,0.8
525,18.0,9.0,0.6
526,18.0,11.0,0.9
527,16.0,10.0,0.9
528,17.0,11.0,0.5
529,16.0,13.0,0.5
530,19.0,12.0,0.2
531,16.0,10.0,0.2
532,20.0,8.0,0.2
533,3.0,11.0,0.4
534,14.0,10.0,0.2
535,23.0,12.0,0.3
536,17.0,13.0,0.7
537,19.0,8.0,0.2
538,14.0,15.0,0.6
539,19.0,12.0,0.7
540,11.0,10.0,1.0
541,16.0,11.0,0.3
542,18.0,9.0,0.5
543,16.0,8.0,0.2
544,12.0,10.0,0.7
545,10.0,15.0,0.7
546,15.0,8.0,0.4
547,23.0,9.0,0.4
548,16.0,8.0,0.3
549,15.0,11.0,0.3
550,18.0,12.0,0.2
551,21.0,11.0,0.3
552,12.0,10.0,0.5
553,16.0,11.0,0.3
554,20.0,10.0,0.5
555,23.0,10.0,0.6
556,16.0,8.0,0.2
557,18.0,11.0,0.9
558,17.0,10.0,0.7
559,18.0,14.0,0.8
560,15.0,12.0,0.3
561,16.0,11.0,0.2
562,14.0,14.0,0.5
563,14.0,10.0,0.6
564,19.0,10.0,0.9
565,18.0,10.0,0.6
566,18.0,8.0,0.7
567,17.0,8.0,0.8
568,19.0,7.0,0.4
569,14.0,7.0,0.6
570,16.0,9.0,0.6
571,13.0,9.0,0.5
572,17.0,8.0,0.8
573,13.0,12.0,0.8
574,11.0,13.0,0.6
575,18.0,11.0,0.5
576,20.0,8.0,0.7
577,19.0,9.0,0.5
578,18.0,7.0,0.4
579,16.0,9.0,0.4
580,18.0,15.0,0.7
581,18.0,6.0,0.7
582,18.0,9.0,0.4
583,20.0,14.0,0.2
584,19.0,12.0,0.3
585,13.0,13.0,0.9
586,20.0,11.0,0.9
587,14.0,6.0,0.2
588,16.0,9.0,0.7
589,19.0,12.0,0.8
590,18.0,5.0,0.3
591,18.0,11.0,0.3
592,16.0,9.0,0.3
593,15.0,9.0,0.6
594,23.0,6.0,0.5
595,19.0,12.0,0.3
596,17.0,12.0,0.9
597,17.0,9.0,0.4
598,14.0,14.0,0.5
599,18.0,11.0,0.8
600,15.0,11.0,0.6
601,15.0,9.0,0.5
602,13.0,7.0,0.7
603,13.0,9.0,0.2
604,17.0,12.0,0.2
605,13.0,6.0,0.5
606,15.0,12.0,0.9
607,16.0,10.0,0.6
608,18.0,12.0,0.7
609,18.0,13.0,0.6
610,19.0,9.0,0.2
611,14.0,12.0,0.2
612,13.0,12.0,0.4
613,12.0,8.0,0.8
614,13.0,11.0,0.7
615,20.0,7.0,0.5
616,15.0,6.0,0.4
617,13.0,10.0,0.6
618,14.0,9.0,0.2
619,15.0,8.0,0.6
620,18.0,10.0,0.4
621,17.0,11.0,0.9
622,16.0,7.0,0.8
623,23.0,11.0,0.1
624,19.0,11.0,0.6
625,15.0,11.0,0.5
626,22.0,7.0,0.5
627,16.0,14.0,0.6
628,13.0,9.0,0.8
629,19.0,12.0,0.4
630,16.0,8.0,0.2
631,22.0,13.0,0.9
632,18.0,12.0,0.5
633,14.0,10.0,0.7
634,13.0,13.0,0.7
635,12.0,11.0,1.0
636,15.0,12.0,0.2
637,19.0,9.0,0.3
638,16.0,11.0,0.5
639,12.0,7.0,0.7
640,14.0,11.0,0.8
641,16.0,11.0,0.2
642,21.0,13.0,0.9
643,16.0,9.0,0.8
644,17.0,10.0,0.5
645,17.0,13.0,0.4
646,12.0,8.0,0.4
647,17.0,11.0,0.5
648,13.0,11.0,0.1
649,11.0,6.0,1.0
650,13.0,8.0,0.6
651,13.0,9.0,0.8
652,22.0,12.0,0.2
653,19.0,12.0,0.8
654,14.0,13.0,0.9
655,19.0,11.0,0.8
656,19.0,11.0,0.6
657,17.0,13.0,0.4
658,19.0,6.0,0.6
659,15.0,9.0,0.1
660,20.0,10.0,0.8
661,21.0,7.0,0.2
662,21.0,10.0,0.7
663,18.0,13.0,0.3
664,14.0,10.0,0.8
665,18.0,6.0,0.7
666,16.0,7.0,1.0
667,18.0,10.0,0.9
668,16.0,7.0,0.1
669,16.0,9.0,0.5
670,13.0,8.0,0.4
671,23.0,12.0,0.3
672,14.0,12.0,0.7
673,17.0,10.0,0.2
674,17.0,9.0,0.3
675,18.0,9.0,0.8
676,16.0,9.0,0.5
677,16.0,10.0,0.3
678,15.0,12.0,0.7
679,17.0,11.0,0.3
680,18.0,11.0,0.3
681,22.0,15.0,0.8
682,19.0,11.0,0.7
683,20.0,10.0,0.8
684,19.0,11.0,1.0
685,19.0,10.0,0.5
686,19.0,11.0,0.5
687,13.0,13.0,0.9
688,15.0,13.0,0.7
689,16.0,9.0,0.8
690,17.0,8.0,0.3
691,17.0,7.0,0.8
692,16.0,13.0,0.9
693,17.0,9.0,0.7
694,12.0,9.0,0.4
695,18.0,13.0,0.8
696,17.0,11.0,0.4
697,16.0,10.0,0.9
698,17.0,11.0,0.6
699,21.0,11.0,0.9
700,14.0,10.0,0.7
701,14.0,12.0,0.9
702,17.0,9.0,0.9
703,17.0,10.0,0.7
704,20.0,11.0,0.4
705,17.0,4.0,0.2
706,13.0,12.0,0.8
707,15.0,9.0,0.9
708,15.0,8.0,0.3
709,11.0,10.0,0.6
710,18.0,9.0,0.2
711,19.0,9.0,0.4
712,18.0,10.0,0.7
713,19.0,8.0,0.6
714,16.0,10.0,1.0
715,16.0,9.0,0.7
716,2.0,13.0,0.8
717,14.0,7.0,0.4
718,21.0,10.0,0.8
719,14.0,8.0,1.0
720,0.0,8.0,0.3
721,16.0,10.0,0.3
722,12.0,13.0,0.3
723,17.0,11.0,0.7
724,19.0,9.0,0.4
725,21.0,11.0,0.2
726,17.0,9.0,0.2
727,13.0,13.0,0.5
728,9.0,9.0,1.0
729,18.0,7.0,0.3
730,14.0,10.0,0.7
731,19.0,7.0,0.2
732,12.0,11.0,0.4
733,17.0,10.0,0.7
734,14.0,10.0,0.3
735,17.0,8.0,0.6
736,16.0,10.0,0.4
737,21.0,8.0,0.4
738,11.0,9.0,0.3
739,11.0,14.0,0.6
740,20.0,8.0,0.4
741,13.0,9.0,0.6
742,14.0,11.0,0.9
743,16.0,7.0,0.5
744,19.0,16.0,0.7
745,16.0,12.0,0.3
746,22.0,9.0,0.1
747,14.0,12.0,0.2
748,18.0,10.0,0.2
749,15.0,9.0,0.5
750,13.0,10.0,0.4
751,18.0,11.0,0.4
752,16.0,10.0,0.2
753,20.0,11.0,0.2
754,11.0,8.0,0.8
755,14.0,7.0,0.5
756,13.0,9.0,0.5
757,17.0,11.0,0.2
758,21.0,9.0,0.9
759,17.0,8.0,0.4
760,20.0,8.0,0.6
761,15.0,9.0,0.7
762,20.0,9.0,0.3
763,19.0,9.0,0.5
764,16.0,7.0,0.8
765,18.0,9.0,0.2
766,15.0,11.0,0.3
767,12.0,7.0,0.2
768,13.0,13.0,0.7
769,19.0,8.0,0.6
770,16.0,14.0,0.7
771,19.0,9.0,0.5
772,10.0,11.0,0.4
773,14.0,10.0,0.9
774,21.0,10.0,1.0
775,20.0,12.0,0.6
776,14.0,11.0,0.2
777,1.0,12.0,0.1
778,14.0,10.0,0.7
779,19.0,12.0,0.4
780,15.0,9.0,0.6
781,9.0,9.0,1.0
782,13.0,12.0,0.4
783,14.0,12.0,0.4
784,19.0,8.0,0.7
785,13.0,12.0,0.5
786,13.0,9.0,0.7
787,16.0,10.0,0.4
788,17.0,10.0,0.2
789,8.0,11.0,0.6
790,14.0,12.0,0.4
791,13.0,13.0,0.2
792,15.0,8.0,0.8
793,13.0,11.0,1.0
794,13.0,6.0,0.3
795,14.0,7.0,0.3
796,13.0,11.0,0.2
797,21.0,13.0,0.3
798,18.0,13.0,0.7
799,21.0,8.0,0.3
800,11.0,8.0,0.6
801,16.0,9.0,0.7
802,13.0,10.0,0.8
803,18.0,12.0,0.7
804,16.0,10.0,0.6
805,21.0,12.0,0.5
806,20.0,10.0,0.6
807,13.0,14.0,0.5
808,14.0,13.0,0.3
809,19.0,9.0,0.9
810,13.0,8.0,0.5
811,16.0,12.0,0.7
812,15.0,9.0,0.5
813,19.0,14.0,0.4
814,17.0,11.0,0.6
815,18.0,12.0,0.2
816,10.0,11.0,1.0
817,15.0,10.0,0.4
818,20.0,9.0,0.9
819,19.0,12.0,0.3
820,19.0,10.0,1.0
821,11.0,13.0,1.0
822,16.0,9.0,0.6
823,21.0,15.0,0.2
824,16.0,8.0,0.8
825,20.0,10.0,0.3
826,17.0,11.0,0.8
827,23.0,7.0,0.8
828,2.0,10.0,0.3
829,2.0,9.0,0.8
830,17.0,6.0,0.5
831,16.0,9.0,0.6
832,16.0,8.0,0.5
833,17.0,8.0,0.8
834,21.0,8.0,0.2
835,18.0,11.0,0.6
836,0.0,12.0,0.4
837,12.0,13.0,0.9
838,18.0,9.0,0.1
839,15.0,11.0,0.2
840,15.0,9.0,0.6
841,17.0,12.0,0.3
842,15.0,16.0,0.8
843,16.0,5.0,0.6
844,13.0,11.0,0.5
845,18.0,8.0,0.4
846,17.0,11.0,0.4
847,12.0,12.0,0.4
848,18.0,7.0,0.8
849,16.0,9.0,0.7
850,21.0,11.0,0.7
851,19.0,8.0,0.6
852,17.0,8.0,0.4
853,18.0,10.0,0.2
854,19.0,8.0,0.5
855,14.0,9.0,0.2
856,18.0,13.0,0.4
857,17.0,11.0,0.7
858,19.0,9.0,0.6
859,13.0,9.0,0.5
860,13.0,11.0,1.0
861,21.0,9.0,1.0
862,22.0,11.0,0.8
863,19.0,11.0,0.6
864,20.0,4.0,0.4
865,15.0,12.0,0.2
866,19.0,13.0,0.6
867,14.0,9.0,0.5
868,18.0,9.0,0.8
869,16.0,10.0,0.1
870,18.0,11.0,0.6
871,16.0,11.0,0.3
872,17.0,8.0,0.2
873,17.0,9.0,0.7
874,18.0,7.0,0.7
875,15.0,11.0,0.2
876,22.0,10.0,0.9
877,16.0,12.0,0.8
878,13.0,13.0,0.3
879,18.0,10.0,0.9
880,18.0,11.0,0.8
881,20.0,12.0,0.6
882,15.0,13.0,0.4
883,11.0,7.0,0.6
884,17.0,11.0,0.5
885,20.0,12.0,0.1
886,13.0,14.0,0.2
887,17.0,9.0,0.5
888,17.0,10.0,0.8
889,18.0,8.0,0.6
890,13.0,9.0,0.2
891,19.0,10.0,0.4
892,16.0,6.0,0.3
893,13.0,6.0,0.2
894,19.0,9.0,0.8
895,18.0,10.0,0.7
896,17.0,9.0,0.3
897,11.0,9.0,0.3
898,22.0,12.0,0.8
899,20.0,9.0,0.8
900,17.0,12.0,0.8
901,18.0,12.0,0.9
902,17.0,5.0,0.3
903,20.0,7.0,0.5
904,22.0,10.0,0.3
905,22.0,12.0,0.6
906,18.0,10.0,0.4
907,12.0,9.0,0.7
908,23.0,7.0,1.0
909,17.0,12.0,0.5
910,15.0,10.0,0.8
911,15.0,6.0,0.6
912,16.0,11.0,1.0
913,17.0,12.0,0.7
914,14.0,6.0,0.9
915,20.0,9.0,0.9
916,16.0,7.0,0.5
917,18.0,12.0,0.4
918,15.0,9.0,0.6
919,14.0,10.0,0.4
920,11.0,11.0,0.2
921,13.0,13.0,0.7
922,15.0,7.0,0.4
923,12.0,8.0,0.2
924,21.0,9.0,0.5
925,19.0,10.0,0.5
926,17.0,7.0,0.2
927,16.0,8.0,0.2
928,23.0,10.0,0.9
929,13.0,8.0,0.3
930,22.0,6.0,0.6
931,13.0,11.0,0.8
932,15.0,8.0,0.1
933,14.0,9.0,0.9
934,18.0,14.0,0.3
935,17.0,12.0,0.5
936,18.0,6.0,0.6
937,17.0,10.0,0.8
938,16.0,8.0,0.3
939,16.0,12.0,0.7
940,15.0,11.0,0.6
941,12.0,9.0,0.5
942,15.0,13.0,0.8
943,17.0,12.0,0.5
944,21.0,7.0,0.4
945,15.0,12.0,0.2
946,16.0,10.0,0.9
947,18.0,10.0,0.7
948,15.0,9.0,0.7
949,18.0,11.0,0.3
950,17.0,8.0,0.5
951,16.0,8.0,0.9
952,17.0,9.0,0.4
953,18.0,11.0,0.6
954,20.0,10.0,0.9
955,22.0,12.0,0.4
956,14.0,6.0,0.8
957,14.0,8.0,0.8
958,3.0,12.0,0.8
959,19.0,9.0,0.3
960,19.0,12.0,0.5
961,22.0,14.0,0.2
962,10.0,9.0,0.3
963,18.0,7.0,0.8
964,14.0,12.0,0.7
965,19.0,10.0,0.2
966,18.0,8.0,0.2
967,11.0,11.0,0.9
968,19.0,10.0,0.2
969,13.0,9.0,0.6
970,10.0,8.0,1.0
971,18.0,7.0,0.6
972,18.0,10.0,0.2
973,15.0,12.0,0.6
974,16.0,10.0,0.3
975,19.0,9.0,0.7
976,14.0,11.0,0.3
977,18.0,12.0,1.0
978,15.0,9.0,0.3
979,17.0,7.0,0.3
980,20.0,12.0,0.7
981,13.0,12.0,1.0
982,12.0,12.0,0.4
983,16.0,12.0,0.7
984,21.0,11.0,0.3
985,21.0,9.0,0.7
986,19.0,10.0,0.3
987,17.0,8.0,0.4
988,13.0,8.0,1.0
989,20.0,8.0,0.8
990,23.0,9.0,0.9
991,23.0,8.0,1.0
992,11.0,6.0,0.2
993,5.0,12.0,0.8
994,17.0,7.0,0.3
995,17.0,11.0,1.0
996,13.0,10.0,0.5
997,17.0,4.0,0.7
