Year,Month,Day,Hour,Power,CBL,CPC
2017,7,5,1,207.12,207.12,0
2017,7,5,2,206.16,206.16,0
2017,7,5,3,207.24,207.24,0
2017,7,5,4,206.04,206.04,0
2017,7,5,5,229.08,229.08,0
2017,7,5,6,231.96,231.96,0
2017,7,5,7,266.16,266.16,0
2017,7,5,8,354.48,354.48,0
2017,7,5,9,574.92,574.92,0
2017,7,5,10,511.92,511.92,0
2017,7,5,11,529.68,529.68,0
2017,7,5,12,498.6,498.6,0
2017,7,5,13,589.2,589.2,0
2017,7,5,14,587.04,587.04,0
2017,7,5,15,602.04,602.04,0
2017,7,5,16,585.96,585.96,0
2017,7,5,17,591.84,591.84,0
2017,7,5,18,333.12,333.12,0
2017,7,5,19,307.08,307.08,0
2017,7,5,20,258.96,258.96,0
2017,7,5,21,244.68,244.68,0
2017,7,5,22,223.08,223.08,0
2017,7,5,23,229.32,229.32,0
2017,7,6,0,232.2,232.2,0
2017,7,6,1,228.84,228.84,0
2017,7,6,2,217.8,217.8,0
2017,7,6,3,221.88,221.88,0
2017,7,6,4,214.68,214.68,0
2017,7,6,5,237.84,237.84,0
2017,7,6,6,245.04,245.04,0
2017,7,6,7,265.92,265.92,0
2017,7,6,8,498.36,498.36,0
2017,7,6,9,527.28,527.28,0
2017,7,6,10,606.96,606.96,0
2017,7,6,11,605.4,605.4,0
2017,7,6,12,500.52,500.52,0
2017,7,6,13,555.84,555.84,0
2017,7,6,14,565.32,565.32,0
2017,7,6,15,589.2,589.2,0
2017,7,6,16,501,501,0
2017,7,6,17,422.88,422.88,0
2017,7,6,18,324,324,0
2017,7,6,19,312.36,312.36,0
2017,7,6,20,261.36,261.36,0
2017,7,6,21,253.92,253.92,0
2017,7,6,22,226.8,226.8,0
2017,7,6,23,222.96,222.96,0
2017,7,7,0,227.64,227.64,0
2017,7,7,1,222.6,222.6,0
2017,7,7,2,210.6,210.6,0
2017,7,7,3,210.24,210.24,0
2017,7,7,4,204.48,204.48,0
2017,7,7,5,227.28,227.28,0
2017,7,7,6,237.48,237.48,0
2017,7,7,7,267.36,267.36,0
2017,7,7,8,379.44,379.44,0
2017,7,7,9,487.56,487.56,0
2017,7,7,10,493.32,493.32,0
2017,7,7,11,494.76,494.76,0
2017,7,7,12,439.44,439.44,0
2017,7,7,13,551.88,551.88,0
2017,7,7,14,574.32,574.32,0
2017,7,7,15,543.48,543.48,0
2017,7,7,16,516.36,516.36,0
2017,7,7,17,458.04,458.04,0
2017,7,7,18,304.92,304.92,0
2017,7,7,19,287.16,287.16,0
2017,7,7,20,255,255,0
2017,7,7,21,248.04,248.04,0
2017,7,7,22,219.96,219.96,0
2017,7,7,23,214.56,214.56,0
2017,7,8,0,218.04,218.04,0
2017,7,8,1,222.72,222.72,0
2017,7,8,2,213.12,213.12,0
2017,7,8,3,210.48,210.48,0
2017,7,8,4,210.36,210.36,0
2017,7,8,5,232.2,232.2,0
2017,7,8,6,226.92,226.92,0
2017,7,8,7,210.36,210.36,0
2017,7,8,8,209.4,209.4,0
2017,7,8,9,226.8,226.8,0
2017,7,8,10,211.8,211.8,0
2017,7,8,11,203.16,203.16,0
2017,7,8,12,224.4,224.4,0
2017,7,8,13,195,195,0
2017,7,8,14,180.72,180.72,0
2017,7,8,15,198.12,198.12,0
2017,7,8,16,216.24,216.24,0
2017,7,8,17,239.64,239.64,0
2017,7,8,18,233.64,233.64,0
2017,7,8,19,229.8,229.8,0
2017,7,8,20,231.72,231.72,0
2017,7,8,21,232.92,232.92,0
2017,7,8,22,216.48,216.48,0
2017,7,8,23,213.96,213.96,0
2017,7,9,0,210,210,0
2017,7,9,1,211.2,211.2,0
2017,7,9,2,210.72,210.72,0
2017,7,9,3,212.04,212.04,0
2017,7,9,4,206.04,206.04,0
2017,7,9,5,228.36,228.36,0
2017,7,9,6,226.56,226.56,0
2017,7,9,7,204.24,204.24,0
2017,7,9,8,192.24,192.24,0
2017,7,9,9,211.2,211.2,0
2017,7,9,10,200.04,200.04,0
2017,7,9,11,183.48,183.48,0
2017,7,9,12,191.04,191.04,0
2017,7,9,13,197.4,197.4,0
2017,7,9,14,211.68,211.68,0
2017,7,9,15,220.92,220.92,0
2017,7,9,16,228.84,228.84,0
2017,7,9,17,250.2,250.2,0
2017,7,9,18,248.16,248.16,0
2017,7,9,19,238.92,238.92,0
2017,7,9,20,237.36,237.36,0
2017,7,9,21,242.64,242.64,0
2017,7,9,22,214.2,214.2,0
2017,7,9,23,219.36,219.36,0
2017,7,10,0,216.24,216.24,0
2017,7,10,1,214.08,214.08,0
2017,7,10,2,211.08,211.08,0
2017,7,10,3,208.56,208.56,0
2017,7,10,4,206.28,206.28,0
2017,7,10,5,235.44,235.44,0
2017,7,10,6,236.04,236.04,0
2017,7,10,7,253.8,253.8,0
2017,7,10,8,399.24,399.24,0
2017,7,10,9,567.48,567.48,0
2017,7,10,10,580.92,580.92,0
2017,7,10,11,579.72,579.72,0
2017,7,10,12,489,489,0
2017,7,10,13,553.32,553.32,0
2017,7,10,14,569.16,569.16,0
2017,7,10,15,566.4,566.4,0
2017,7,10,16,552.24,552.24,0
2017,7,10,17,465.48,465.48,0
2017,7,10,18,341.52,341.52,0
2017,7,10,19,319.92,319.92,0
2017,7,10,20,280.8,280.8,0
2017,7,10,21,293.16,293.16,0
2017,7,10,22,234.96,234.96,0
2017,7,10,23,227.76,227.76,0
2017,7,11,0,227.64,227.64,0
2017,7,11,1,221.16,221.16,0
2017,7,11,2,216,216,0
2017,7,11,3,220.2,220.2,0
2017,7,11,4,212.04,212.04,0
2017,7,11,5,234.96,234.96,0
2017,7,11,6,242.4,242.4,0
2017,7,11,7,269.28,269.28,0
2017,7,11,8,376.56,376.56,0
2017,7,11,9,561.96,561.96,0
2017,7,11,10,526.8,526.8,0
2017,7,11,11,549.36,549.36,0
2017,7,11,12,500.16,500.16,0
2017,7,11,13,582,582,0
2017,7,11,14,586.68,586.68,0
2017,7,11,15,603.96,603.96,0
2017,7,11,16,588.12,588.12,0
2017,7,11,17,524.64,524.64,0
2017,7,11,18,322.68,322.68,0
2017,7,11,19,295.68,295.68,0
2017,7,11,20,291.96,291.96,0
2017,7,11,21,285.6,285.6,0
2017,7,11,22,232.68,232.68,0
2017,7,11,23,221.4,221.4,0
2017,7,12,0,223.2,223.2,0
2017,7,12,1,219.6,219.6,0
2017,7,12,2,211.44,211.44,0
2017,7,12,3,214.56,214.56,0
2017,7,12,4,213.84,213.84,0
2017,7,12,5,231.6,231.6,0
2017,7,12,6,237.96,237.96,0
2017,7,12,7,265.2,265.2,0
2017,7,12,8,365.4,365.4,0
2017,7,12,9,522.72,522.72,0
2017,7,12,10,550.2,550.2,0
2017,7,12,11,533.28,533.28,0
2017,7,12,12,480.48,480.48,0
2017,7,12,13,400.32,400.32,0
2017,7,12,14,474.72,474.72,0
2017,7,12,15,573.12,573.12,0
2017,7,12,16,531.36,531.36,0
2017,7,12,17,450.48,450.48,0
2017,7,12,18,334.68,334.68,0
2017,7,12,19,299.76,299.76,0
2017,7,12,20,276.48,276.48,0
2017,7,12,21,248.16,248.16,0
2017,7,12,22,220.44,220.44,0
2017,7,12,23,223.92,223.92,0
2017,7,13,0,221.4,221.4,0
2017,7,13,1,216.12,216.12,0
2017,7,13,2,212.04,212.04,0
2017,7,13,3,212.88,212.88,0
2017,7,13,4,210.24,210.24,0
2017,7,13,5,234.72,234.72,0
2017,7,13,6,236.76,236.76,0
2017,7,13,7,256.08,256.08,0
2017,7,13,8,343.2,343.2,0
2017,7,13,9,488.16,488.16,0
2017,7,13,10,477.12,477.12,0
2017,7,13,11,497.16,497.16,0
2017,7,13,12,507,507,0
2017,7,13,13,576.12,576.12,0
2017,7,13,14,591.6,591.6,0
2017,7,13,15,580.92,580.92,0
2017,7,13,16,598.2,598.2,0
2017,7,13,17,510.36,510.36,0
2017,7,13,18,331.2,331.2,0
2017,7,13,19,316.68,316.68,0
2017,7,13,20,275.04,275.04,0
2017,7,13,21,287.16,287.16,0
2017,7,13,22,249,249,0
2017,7,13,23,233.16,233.16,0
2017,7,14,0,227.88,227.88,0
2017,7,14,1,221.88,221.88,0
2017,7,14,2,217.2,217.2,0
2017,7,14,3,214.68,214.68,0
2017,7,14,4,212.4,212.4,0
2017,7,14,5,234.48,234.48,0
2017,7,14,6,240.72,240.72,0
2017,7,14,7,249.12,249.12,0
2017,7,14,8,407.76,407.76,0
2017,7,14,9,549.24,549.24,0
2017,7,14,10,513.12,513.12,0
2017,7,14,11,506.28,506.28,0
2017,7,14,12,480.72,480.72,0
2017,7,14,13,586.8,586.8,0
2017,7,14,14,572.64,572.64,0
2017,7,14,15,571.56,571.56,0
2017,7,14,16,521.88,521.88,0
2017,7,14,17,440.64,440.64,0
2017,7,14,18,300.12,300.12,0
2017,7,14,19,276,276,0
2017,7,14,20,244.2,244.2,0
2017,7,14,21,255.84,255.84,0
2017,7,14,22,220.2,220.2,0
2017,7,14,23,223.32,223.32,0
2017,7,15,0,223.68,223.68,0
2017,7,15,1,220.08,220.08,0
2017,7,15,2,221.88,221.88,0
2017,7,15,3,217.56,217.56,0
2017,7,15,4,215.64,215.64,0
2017,7,15,5,236.04,236.04,0
2017,7,15,6,231.36,231.36,0
2017,7,15,7,213.6,213.6,0
2017,7,15,8,210.48,210.48,0
2017,7,15,9,230.4,230.4,0
2017,7,15,10,216.84,216.84,0
2017,7,15,11,212.16,212.16,0
2017,7,15,12,235.56,235.56,0
2017,7,15,13,228.96,228.96,0
2017,7,15,14,230.28,230.28,0
2017,7,15,15,230.16,230.16,0
2017,7,15,16,233.76,233.76,0
2017,7,15,17,253.08,253.08,0
2017,7,15,18,234,234,0
2017,7,15,19,242.16,242.16,0
2017,7,15,20,245.88,245.88,0
2017,7,15,21,253.68,253.68,0
2017,7,15,22,220.68,220.68,0
2017,7,15,23,221.16,221.16,0
2017,7,16,0,222.96,222.96,0
2017,7,16,1,221.04,221.04,0
2017,7,16,2,217.8,217.8,0
2017,7,16,3,218.64,218.64,0
2017,7,16,4,215.28,215.28,0
2017,7,16,5,234.24,234.24,0
2017,7,16,6,234.84,234.84,0
2017,7,16,7,216.24,216.24,0
2017,7,16,8,211.56,211.56,0
2017,7,16,9,225.96,225.96,0
2017,7,16,10,211.8,211.8,0
2017,7,16,11,206.04,206.04,0
2017,7,16,12,203.4,203.4,0
2017,7,16,13,218.64,218.64,0
2017,7,16,14,217.08,217.08,0
2017,7,16,15,243.96,243.96,0
2017,7,16,16,255,255,0
2017,7,16,17,274.56,274.56,0
2017,7,16,18,247.44,247.44,0
2017,7,16,19,226.8,226.8,0
2017,7,16,20,245.04,245.04,0
2017,7,16,21,229.08,229.08,0
2017,7,16,22,219.36,219.36,0
2017,7,16,23,221.64,221.64,0
2017,7,17,0,222.36,222.36,0
2017,7,17,1,218.76,218.76,0
2017,7,17,2,221.76,221.76,0
2017,7,17,3,222.96,222.96,0
2017,7,17,4,214.68,214.68,0
2017,7,17,5,239.88,239.88,0
2017,7,17,6,240.84,240.84,0
2017,7,17,7,263.04,263.04,0
2017,7,17,8,418.2,418.2,0
2017,7,17,9,589.32,589.32,0
2017,7,17,10,593.64,593.64,0
2017,7,17,11,565.8,565.8,0
2017,7,17,12,504.36,504.36,0
2017,7,17,13,565.32,565.32,0
2017,7,17,14,563.04,563.04,0
2017,7,17,15,553.68,553.68,0
2017,7,17,16,491.28,491.28,0
2017,7,17,17,424.68,424.68,0
2017,7,17,18,314.4,314.4,0
2017,7,17,19,281.04,281.04,0
2017,7,17,20,265.32,265.32,0
2017,7,17,21,272.28,272.28,0
2017,7,17,22,239.52,239.52,0
2017,7,17,23,222.36,222.36,0
2017,7,18,0,213.72,213.72,0
2017,7,18,1,210.24,210.24,0
2017,7,18,2,209.16,209.16,0
2017,7,18,3,208.68,208.68,0
2017,7,18,4,207.48,207.48,0
2017,7,18,5,224.4,224.4,0
2017,7,18,6,232.44,232.44,0
2017,7,18,7,259.56,259.56,0
2017,7,18,8,405.36,405.36,0
2017,7,18,9,598.8,598.8,0
2017,7,18,10,551.76,551.76,0
2017,7,18,11,520.2,520.2,0
2017,7,18,12,455.28,455.28,0
2017,7,18,13,523.92,523.92,0
2017,7,18,14,576.48,576.48,0
2017,7,18,15,588.84,588.84,0
2017,7,18,16,533.16,533.16,0
2017,7,18,17,504,504,0
2017,7,18,18,335.64,335.64,0
2017,7,18,19,327.6,327.6,0
2017,7,18,20,283.8,283.8,0
2017,7,18,21,282.12,282.12,0
2017,7,18,22,233.04,233.04,0
2017,7,18,23,216.6,216.6,0
2017,7,19,0,213.72,213.72,0
2017,7,19,1,210,210,0
2017,7,19,2,208.32,208.32,0
2017,7,19,3,210.48,210.48,0
2017,7,19,4,204.72,204.72,0
2017,7,19,5,225.48,225.48,0
2017,7,19,6,239.52,239.52,0
2017,7,19,7,271.8,271.8,0
2017,7,19,8,425.64,425.64,0
2017,7,19,9,511.8,511.8,0
2017,7,19,10,486.96,486.96,0
2017,7,19,11,498.12,498.12,0
2017,7,19,12,456.48,456.48,0
2017,7,19,13,543,543,0
2017,7,19,14,555.96,555.96,0
2017,7,19,15,579.12,579.12,0
2017,7,19,16,579.84,579.84,0
2017,7,19,17,532.44,532.44,0
2017,7,19,18,305.52,305.52,0
2017,7,19,19,284.04,284.04,0
2017,7,19,20,284.16,284.16,0
2017,7,19,21,277.08,277.08,0
2017,7,19,22,233.28,233.28,0
2017,7,19,23,221.52,221.52,0
2017,7,20,0,230.64,230.64,0
2017,7,20,1,227.76,227.76,0
2017,7,20,2,224.4,224.4,0
2017,7,20,3,227.64,227.64,0
2017,7,20,4,224.88,224.88,0
2017,7,20,5,244.08,244.08,0
2017,7,20,6,256.32,256.32,0
2017,7,20,7,271.32,271.32,0
2017,7,20,8,458.28,458.28,0
2017,7,20,9,488.64,488.64,0
2017,7,20,10,527.4,527.4,0
2017,7,20,11,558.6,558.6,0
2017,7,20,12,508.92,508.92,0
2017,7,20,13,575.16,575.16,0
2017,7,20,14,614.76,614.76,0
2017,7,20,15,637.56,637.56,0
2017,7,20,16,619.8,619.8,0
2017,7,20,17,616.08,616.08,0
2017,7,20,18,316.08,316.08,0
2017,7,20,19,293.76,293.76,0
2017,7,20,20,264,264,0
2017,7,20,21,265.44,265.44,0
2017,7,20,22,232.8,232.8,0
2017,7,20,23,214.68,214.68,0
2017,7,21,0,213.84,213.84,0
2017,7,21,1,211.92,211.92,0
2017,7,21,2,209.76,209.76,0
2017,7,21,3,207.48,207.48,0
2017,7,21,4,207.12,207.12,0
2017,7,21,5,229.44,229.44,0
2017,7,21,6,237.96,237.96,0
2017,7,21,7,275.16,275.16,0
2017,7,21,8,503.4,503.4,0
2017,7,21,9,622.08,622.08,0
2017,7,21,10,621.12,621.12,0
2017,7,21,11,599.04,599.04,0
2017,7,21,12,546.84,546.84,0
2017,7,21,13,623.64,623.64,0
2017,7,21,14,633.6,633.6,0
2017,7,21,15,627.6,627.6,0
2017,7,21,16,618.84,618.84,0
2017,7,21,17,607.32,607.32,0
2017,7,21,18,305.16,305.16,0
2017,7,21,19,262.56,262.56,0
2017,7,21,20,233.88,233.88,0
2017,7,21,21,229.68,229.68,0
2017,7,21,22,222,222,0
2017,7,21,23,220.92,220.92,0
2017,7,22,0,219,219,0
2017,7,22,1,215.52,215.52,0
2017,7,22,2,213.36,213.36,0
2017,7,22,3,216.36,216.36,0
2017,7,22,4,206.52,206.52,0
2017,7,22,5,234.72,234.72,0
2017,7,22,6,227.52,227.52,0
2017,7,22,7,213.72,213.72,0
2017,7,22,8,207.84,207.84,0
2017,7,22,9,230.52,230.52,0
2017,7,22,10,234.48,234.48,0
2017,7,22,11,230.76,230.76,0
2017,7,22,12,229.92,229.92,0
2017,7,22,13,238.68,238.68,0
2017,7,22,14,227.64,227.64,0
2017,7,22,15,227.64,227.64,0
2017,7,22,16,231.36,231.36,0
2017,7,22,17,265.68,265.68,0
2017,7,22,18,264.48,264.48,0
2017,7,22,19,249.36,249.36,0
2017,7,22,20,248.52,248.52,0
2017,7,22,21,249.24,249.24,0
2017,7,22,22,225.84,225.84,0
2017,7,22,23,226.56,226.56,0
2017,7,23,0,223.08,223.08,0
2017,7,23,1,224.16,224.16,0
2017,7,23,2,230.52,230.52,0
2017,7,23,3,219.84,219.84,0
2017,7,23,4,222.6,222.6,0
2017,7,23,5,238.56,238.56,0
2017,7,23,6,231.12,231.12,0
2017,7,23,7,221.88,221.88,0
2017,7,23,8,219.12,219.12,0
2017,7,23,9,234.72,234.72,0
2017,7,23,10,236.28,236.28,0
2017,7,23,11,238.68,238.68,0
2017,7,23,12,228.12,228.12,0
2017,7,23,13,250.44,250.44,0
2017,7,23,14,234.72,234.72,0
2017,7,23,15,241.56,241.56,0
2017,7,23,16,252.6,252.6,0
2017,7,23,17,254.28,254.28,0
2017,7,23,18,242.52,242.52,0
2017,7,23,19,238.08,238.08,0
2017,7,23,20,224.28,224.28,0
2017,7,23,21,246.36,246.36,0
2017,7,23,22,218.76,218.76,0
2017,7,23,23,214.92,214.92,0
2017,7,24,0,217.2,217.2,0
2017,7,24,1,220.08,220.08,0
2017,7,24,2,214.2,214.2,0
2017,7,24,3,215.88,215.88,0
2017,7,24,4,215.28,215.28,0
2017,7,24,5,229.8,229.8,0
2017,7,24,6,239.16,239.16,0
2017,7,24,7,263.16,263.16,0
2017,7,24,8,548.04,548.04,0
2017,7,24,9,652.56,652.56,0
2017,7,24,10,618,618,0
2017,7,24,11,627.48,627.48,0
2017,7,24,12,590.4,590.4,0
2017,7,24,13,634.56,634.56,0
2017,7,24,14,636.6,636.6,0
2017,7,24,15,637.8,637.8,0
2017,7,24,16,633.12,633.12,0
2017,7,24,17,633.84,633.84,0
2017,7,24,18,355.32,355.32,0
2017,7,24,19,341.76,341.76,0
2017,7,24,20,317.88,317.88,0
2017,7,24,21,269.64,269.64,0
2017,7,24,22,237.24,237.24,0
2017,7,24,23,231.6,231.6,0
2017,7,25,0,227.52,227.52,0
2017,7,25,1,222.48,222.48,0
2017,7,25,2,216.6,216.6,0
2017,7,25,3,217.08,217.08,0
2017,7,25,4,210.96,210.96,0
2017,7,25,5,236.64,236.64,0
2017,7,25,6,253.32,253.32,0
2017,7,25,7,277.56,277.56,0
2017,7,25,8,543.48,543.48,0
2017,7,25,9,648.84,648.84,0
2017,7,25,10,644.04,644.04,0
2017,7,25,11,650.64,650.64,0
2017,7,25,12,610.32,610.32,0
2017,7,25,13,704.64,704.64,0
2017,7,25,14,687.36,687.36,0
2017,7,25,15,679.92,679.92,0
2017,7,25,16,664.32,664.32,0
2017,7,25,17,627.48,627.48,0
2017,7,25,18,354.36,354.36,0
2017,7,25,19,301.8,301.8,0
2017,7,25,20,262.2,262.2,0
2017,7,25,21,272.04,272.04,0
2017,7,25,22,220.56,220.56,0
2017,7,25,23,218.88,218.88,0
2017,7,26,0,214.92,214.92,0
2017,7,26,1,214.68,214.68,0
2017,7,26,2,209.52,209.52,0
2017,7,26,3,208.2,208.2,0
2017,7,26,4,208.56,208.56,0
2017,7,26,5,229.8,229.8,0
2017,7,26,6,239.76,239.76,0
2017,7,26,7,263.76,263.76,0
2017,7,26,8,475.32,475.32,0
2017,7,26,9,628.92,628.92,0
2017,7,26,10,650.52,650.52,0
2017,7,26,11,645.72,645.72,0
2017,7,26,12,579.84,579.84,0
2017,7,26,13,653.16,653.16,0
2017,7,26,14,656.4,656.4,0
2017,7,26,15,643.8,643.8,0
2017,7,26,16,634.56,634.56,0
2017,7,26,17,605.64,605.64,0
2017,7,26,18,327,327,0
2017,7,26,19,303.24,303.24,0
2017,7,26,20,274.68,274.68,0
2017,7,26,21,259.44,259.44,0
2017,7,26,22,219.36,219.36,0
2017,7,26,23,221.4,221.4,0
2017,7,27,0,210.84,210.84,0
2017,7,27,1,208.8,208.8,0
2017,7,27,2,204.96,204.96,0
2017,7,27,3,203.28,203.28,0
2017,7,27,4,202.56,202.56,0
2017,7,27,5,218.64,218.64,0
2017,7,27,6,232.44,232.44,0
2017,7,27,7,252.6,252.6,0
2017,7,27,8,369.48,369.48,0
2017,7,27,9,554.64,554.64,0
2017,7,27,10,535.92,535.92,0
2017,7,27,11,563.16,563.16,0
2017,7,27,12,537,537,0
2017,7,27,13,601.32,601.32,0
2017,7,27,14,594.24,594.24,0
2017,7,27,15,600.24,600.24,0
2017,7,27,16,592.92,592.92,0
2017,7,27,17,577.08,577.08,0
2017,7,27,18,324.72,324.72,0
2017,7,27,19,274.2,274.2,0
2017,7,27,20,244.92,244.92,0
2017,7,27,21,247.08,247.08,0
2017,7,27,22,226.08,226.08,0
2017,7,27,23,217.56,217.56,0
2017,7,28,0,210.72,210.72,0
2017,7,28,1,212.4,212.4,0
2017,7,28,2,210.72,210.72,0
2017,7,28,3,210.96,210.96,0
2017,7,28,4,209.28,209.28,0
2017,7,28,5,228.12,228.12,0
2017,7,28,6,242.88,242.88,0
2017,7,28,7,258.96,258.96,0
2017,7,28,8,465.24,465.24,0
2017,7,28,9,563.4,563.4,0
2017,7,28,10,566.16,566.16,0
2017,7,28,11,587.64,587.64,0
2017,7,28,12,527.64,527.64,0
2017,7,28,13,625.68,625.68,0
2017,7,28,14,635.28,635.28,0
2017,7,28,15,599.16,599.16,0
2017,7,28,16,559.08,559.08,0
2017,7,28,17,580.2,580.2,0
2017,7,28,18,298.32,298.32,0
2017,7,28,19,243.96,243.96,0
2017,7,28,20,219.36,219.36,0
2017,7,28,21,237.48,237.48,0
2017,7,28,22,216,216,0
2017,7,28,23,206.88,206.88,0
2017,7,29,0,206.4,206.4,0
2017,7,29,1,210,210,0
2017,7,29,2,206.52,206.52,0
2017,7,29,3,211.8,211.8,0
2017,7,29,4,209.28,209.28,0
2017,7,29,5,229.32,229.32,0
2017,7,29,6,225.6,225.6,0
2017,7,29,7,206.88,206.88,0
2017,7,29,8,207.72,207.72,0
2017,7,29,9,222.72,222.72,0
2017,7,29,10,227.64,227.64,0
2017,7,29,11,217.08,217.08,0
2017,7,29,12,229.68,229.68,0
2017,7,29,13,227.52,227.52,0
2017,7,29,14,240.36,240.36,0
2017,7,29,15,240.48,240.48,0
2017,7,29,16,243.72,243.72,0
2017,7,29,17,255.6,255.6,0
2017,7,29,18,224.16,224.16,0
2017,7,29,19,226.68,226.68,0
2017,7,29,20,237.12,237.12,0
2017,7,29,21,238.44,238.44,0
2017,7,29,22,205.92,205.92,0
2017,7,29,23,206.16,206.16,0
2017,7,30,0,204.24,204.24,0
2017,7,30,1,207.24,207.24,0
2017,7,30,2,203.64,203.64,0
2017,7,30,3,205.44,205.44,0
2017,7,30,4,203.76,203.76,0
2017,7,30,5,223.92,223.92,0
2017,7,30,6,220.68,220.68,0
2017,7,30,7,200.64,200.64,0
2017,7,30,8,199.08,199.08,0
2017,7,30,9,207.72,207.72,0
2017,7,30,10,216.6,216.6,0
2017,7,30,11,227.16,227.16,0
2017,7,30,12,234,234,0
2017,7,30,13,243.48,243.48,0
2017,7,30,14,230.4,230.4,0
2017,7,30,15,240.12,240.12,0
2017,7,30,16,262.44,262.44,0
2017,7,30,17,280.2,280.2,0
2017,7,30,18,257.88,257.88,0
2017,7,30,19,237.72,237.72,0
2017,7,30,20,236.76,236.76,0
2017,7,30,21,233.76,233.76,0
2017,7,30,22,210.36,210.36,0
2017,7,30,23,210,210,0
2017,7,31,0,206.28,206.28,0
2017,7,31,1,209.16,209.16,0
2017,7,31,2,208.56,208.56,0
2017,7,31,3,207,207,0
2017,7,31,4,204.96,204.96,0
2017,7,31,5,239.64,239.64,0
2017,7,31,6,237.6,237.6,0
2017,7,31,7,259.44,259.44,0
2017,7,31,8,520.56,520.56,0
2017,7,31,9,593.16,593.16,0
2017,7,31,10,579.6,579.6,0
2017,7,31,11,555.72,555.72,0
2017,7,31,12,514.92,514.92,0
2017,7,31,13,574.32,574.32,0
2017,7,31,14,556.92,556.92,0
2017,7,31,15,547.92,547.92,0
2017,7,31,16,530.4,530.4,0
2017,7,31,17,475.32,475.32,0
2017,7,31,18,323.28,323.28,0
2017,7,31,19,298.44,298.44,0
2017,7,31,20,247.68,247.68,0
