,in,dur,out,init_soc
57,14.0,0.0,14.0,0.3
58,9.0,4.0,13.0,1.0
59,12.0,6.0,18.0,0.5
60,16.0,19.0,35.0,1.0
61,18.0,1.0,19.0,0.7
62,19.0,5.0,24.0,0.3
63,13.0,1.0,14.0,0.1
64,11.0,0.0,11.0,0.2
65,11.0,2.0,13.0,0.8
66,2.0,12.0,14.0,0.5
67,14.0,0.0,14.0,0.7
68,17.0,0.0,17.0,0.2
69,20.0,10.0,30.0,0.6
70,14.0,1.0,15.0,1.0
71,9.0,2.0,11.0,0.3
72,19.0,5.0,24.0,0.3
73,11.0,0.0,11.0,0.7
74,18.0,1.0,19.0,0.4
75,8.0,8.0,16.0,0.3
76,9.0,0.0,9.0,0.7
77,11.0,3.0,14.0,0.6
78,9.0,0.0,9.0,0.4
79,8.0,9.0,17.0,0.3
80,17.0,1.0,18.0,0.9
81,18.0,17.0,35.0,0.1
82,20.0,12.0,32.0,0.3
83,19.0,12.0,31.0,0.3
84,8.0,5.0,13.0,0.3
85,21.0,14.0,35.0,0.3
86,9.0,2.0,11.0,0.3
87,16.0,18.0,34.0,0.3
88,18.0,14.0,32.0,0.9
89,7.0,4.0,11.0,0.7
90,10.0,2.0,12.0,0.5
91,19.0,12.0,31.0,0.5
92,9.0,22.0,31.0,0.8
93,8.0,10.0,18.0,0.9
94,10.0,0.0,10.0,0.4
95,8.0,8.0,16.0,0.6
96,11.0,0.0,11.0,0.7
97,11.0,5.0,16.0,0.5
98,12.0,6.0,18.0,0.4
99,16.0,16.0,32.0,0.7
100,19.0,0.0,19.0,0.7
101,14.0,16.0,30.0,0.6
102,12.0,4.0,16.0,0.5
103,17.0,21.0,38.0,0.7
104,8.0,8.0,16.0,0.9
105,11.0,1.0,12.0,0.5
106,19.0,12.0,31.0,0.1
107,15.0,23.0,38.0,0.8
108,10.0,5.0,15.0,0.6
109,9.0,1.0,10.0,0.4
110,17.0,15.0,32.0,0.6
111,12.0,1.0,13.0,1.0
112,11.0,1.0,12.0,0.7
113,16.0,14.0,30.0,0.5
114,17.0,1.0,18.0,0.6
115,11.0,0.0,11.0,0.3
116,10.0,1.0,11.0,1.0
117,11.0,1.0,12.0,0.8
118,18.0,3.0,21.0,0.8
119,8.0,9.0,17.0,0.6
120,16.0,3.0,19.0,0.8
121,18.0,15.0,33.0,0.5
122,11.0,1.0,12.0,0.3
123,16.0,17.0,33.0,0.3
124,8.0,1.0,9.0,0.5
125,15.0,8.0,23.0,0.5
126,9.0,0.0,9.0,0.5
127,17.0,0.0,17.0,0.1
128,13.0,20.0,33.0,0.3
129,18.0,13.0,31.0,0.8
130,19.0,0.0,19.0,0.5
131,13.0,23.0,36.0,0.7
132,19.0,12.0,31.0,0.8
133,12.0,1.0,13.0,0.9
134,20.0,10.0,30.0,0.5
135,13.0,2.0,15.0,0.4
136,13.0,2.0,15.0,0.8
137,9.0,9.0,18.0,0.3
138,23.0,6.0,29.0,0.5
139,9.0,8.0,17.0,1.0
140,14.0,1.0,15.0,0.7
141,24.0,10.0,34.0,0.3
142,11.0,22.0,33.0,0.7
143,13.0,21.0,34.0,0.7
144,15.0,0.0,15.0,0.2
145,13.0,1.0,14.0,0.8
146,15.0,0.0,15.0,0.3
147,16.0,14.0,30.0,0.8
148,19.0,13.0,32.0,0.8
149,10.0,1.0,11.0,0.6
150,16.0,0.0,16.0,0.4
151,1.0,14.0,15.0,0.2
152,12.0,4.0,16.0,0.6
153,22.0,17.0,39.0,0.8
154,7.0,8.0,15.0,0.6
155,15.0,0.0,15.0,0.6
156,21.0,11.0,32.0,0.7
157,6.0,1.0,7.0,0.4
158,13.0,4.0,17.0,0.4
159,21.0,12.0,33.0,0.4
160,12.0,2.0,14.0,0.5
161,18.0,13.0,31.0,0.4
162,16.0,1.0,17.0,0.3
163,15.0,20.0,35.0,0.7
164,9.0,7.0,16.0,0.7
165,18.0,14.0,32.0,0.4
166,24.0,14.0,38.0,0.2
167,14.0,0.0,14.0,0.8
168,7.0,4.0,11.0,0.4
169,8.0,0.0,8.0,0.4
170,14.0,4.0,18.0,0.3
171,7.0,10.0,17.0,0.9
172,23.0,16.0,39.0,0.9
173,7.0,15.0,22.0,0.5
174,20.0,18.0,38.0,0.5
175,11.0,23.0,34.0,0.9
176,14.0,3.0,17.0,0.7
177,9.0,0.0,9.0,0.4
178,12.0,1.0,13.0,0.8
179,9.0,0.0,9.0,0.5
180,21.0,13.0,34.0,0.3
181,8.0,8.0,16.0,0.3
182,9.0,8.0,17.0,0.6
183,22.0,10.0,32.0,0.4
184,18.0,1.0,19.0,0.4
185,22.0,8.0,30.0,0.8
186,19.0,12.0,31.0,0.3
187,15.0,0.0,15.0,0.8
188,15.0,4.0,19.0,0.2
189,12.0,1.0,13.0,0.9
190,8.0,9.0,17.0,0.5
191,20.0,21.0,41.0,0.9
192,18.0,22.0,40.0,0.5
193,17.0,13.0,30.0,0.9
194,18.0,1.0,19.0,0.5
195,9.0,3.0,12.0,1.0
196,7.0,5.0,12.0,0.8
197,13.0,0.0,13.0,0.8
198,12.0,1.0,13.0,0.8
199,22.0,10.0,32.0,0.6
200,14.0,0.0,14.0,0.3
201,8.0,11.0,19.0,0.2
202,20.0,3.0,23.0,0.9
203,18.0,14.0,32.0,0.2
204,11.0,0.0,11.0,0.9
205,20.0,2.0,22.0,0.2
206,18.0,14.0,32.0,0.4
207,10.0,7.0,17.0,0.3
208,20.0,11.0,31.0,0.3
209,18.0,13.0,31.0,0.4
210,24.0,9.0,33.0,0.2
211,19.0,2.0,21.0,0.1
212,12.0,6.0,18.0,0.9
213,18.0,1.0,19.0,0.7
214,17.0,0.0,17.0,0.6
215,12.0,0.0,12.0,0.7
216,20.0,12.0,32.0,0.6
217,12.0,0.0,12.0,0.6
218,18.0,13.0,31.0,0.8
219,15.0,14.0,29.0,0.2
220,11.0,23.0,34.0,1.0
221,13.0,19.0,32.0,0.5
222,18.0,13.0,31.0,0.6
223,12.0,6.0,18.0,0.8
224,14.0,19.0,33.0,0.9
225,9.0,7.0,16.0,0.7
226,18.0,19.0,37.0,0.2
227,14.0,9.0,23.0,0.7
228,9.0,7.0,16.0,0.9
229,17.0,7.0,24.0,0.7
230,20.0,16.0,36.0,0.8
231,8.0,23.0,31.0,0.7
232,11.0,0.0,11.0,0.4
233,18.0,14.0,32.0,0.2
234,16.0,4.0,20.0,0.4
235,17.0,22.0,39.0,0.2
236,13.0,2.0,15.0,0.6
237,9.0,1.0,10.0,0.8
238,19.0,11.0,30.0,0.3
239,7.0,0.0,7.0,0.8
240,16.0,0.0,16.0,1.0
241,14.0,23.0,37.0,0.3
242,21.0,14.0,35.0,0.2
243,20.0,10.0,30.0,0.1
244,19.0,9.0,28.0,0.4
245,15.0,1.0,16.0,0.3
246,19.0,13.0,32.0,0.5
247,11.0,1.0,12.0,0.7
248,12.0,19.0,31.0,0.7
249,8.0,8.0,16.0,0.6
250,15.0,2.0,17.0,0.5
251,8.0,9.0,17.0,0.3
252,8.0,9.0,17.0,0.8
253,19.0,1.0,20.0,0.4
254,12.0,0.0,12.0,0.5
255,7.0,1.0,8.0,0.5
256,16.0,22.0,38.0,0.8
257,19.0,3.0,22.0,0.2
258,8.0,9.0,17.0,0.8
259,16.0,0.0,16.0,0.5
260,16.0,20.0,36.0,0.4
261,18.0,2.0,20.0,0.9
262,20.0,0.0,20.0,0.4
263,12.0,0.0,12.0,0.3
264,10.0,20.0,30.0,0.4
265,19.0,9.0,28.0,0.1
266,13.0,0.0,13.0,0.6
267,15.0,2.0,17.0,0.8
268,20.0,0.0,20.0,0.9
269,14.0,19.0,33.0,0.7
270,18.0,13.0,31.0,0.6
271,20.0,18.0,38.0,0.7
272,10.0,3.0,13.0,0.8
273,16.0,17.0,33.0,0.8
274,14.0,20.0,34.0,0.9
275,15.0,0.0,15.0,0.3
276,20.0,1.0,21.0,0.9
277,21.0,1.0,22.0,0.5
278,13.0,1.0,14.0,0.8
279,14.0,0.0,14.0,1.0
280,18.0,12.0,30.0,1.0
281,21.0,22.0,43.0,0.3
282,10.0,1.0,11.0,0.5
283,16.0,3.0,19.0,0.6
284,16.0,1.0,17.0,0.5
285,15.0,17.0,32.0,0.4
286,13.0,1.0,14.0,0.6
287,20.0,0.0,20.0,1.0
288,13.0,20.0,33.0,0.7
289,14.0,0.0,14.0,0.5
290,12.0,5.0,17.0,0.6
291,15.0,2.0,17.0,0.2
292,20.0,12.0,32.0,0.2
293,21.0,2.0,23.0,0.8
294,18.0,14.0,32.0,0.6
295,13.0,1.0,14.0,0.6
296,20.0,11.0,31.0,0.1
297,18.0,14.0,32.0,0.5
298,8.0,4.0,12.0,0.7
299,17.0,1.0,18.0,0.4
300,17.0,1.0,18.0,1.0
301,19.0,12.0,31.0,0.3
302,12.0,2.0,14.0,0.5
303,14.0,2.0,16.0,0.4
304,11.0,3.0,14.0,0.6
305,10.0,23.0,33.0,0.6
306,17.0,3.0,20.0,0.3
307,7.0,8.0,15.0,0.7
308,19.0,0.0,19.0,0.2
309,18.0,3.0,21.0,0.2
310,17.0,14.0,31.0,0.9
311,8.0,6.0,14.0,0.5
312,13.0,2.0,15.0,0.6
313,7.0,8.0,15.0,0.9
314,22.0,7.0,29.0,0.3
315,17.0,14.0,31.0,0.3
316,9.0,1.0,10.0,1.0
317,21.0,2.0,23.0,0.6
318,16.0,0.0,16.0,0.3
319,15.0,1.0,16.0,0.7
320,18.0,18.0,36.0,0.6
321,13.0,1.0,14.0,0.4
322,16.0,14.0,30.0,0.2
323,17.0,5.0,22.0,0.7
324,17.0,20.0,37.0,0.3
325,13.0,23.0,36.0,0.4
326,16.0,1.0,17.0,0.5
327,16.0,15.0,31.0,0.3
328,9.0,1.0,10.0,0.5
329,11.0,2.0,13.0,0.7
330,17.0,15.0,32.0,0.5
331,20.0,17.0,37.0,0.5
332,15.0,0.0,15.0,0.5
333,19.0,1.0,20.0,0.6
334,18.0,0.0,18.0,0.9
335,12.0,0.0,12.0,0.8
336,18.0,3.0,21.0,0.6
337,19.0,10.0,29.0,0.5
338,12.0,1.0,13.0,0.6
339,18.0,1.0,19.0,0.9
340,9.0,8.0,17.0,0.4
341,11.0,0.0,11.0,0.8
342,9.0,1.0,10.0,0.2
343,14.0,19.0,33.0,0.4
344,17.0,15.0,32.0,0.9
345,20.0,9.0,29.0,0.3
346,16.0,2.0,18.0,0.7
347,6.0,1.0,7.0,0.2
348,7.0,8.0,15.0,0.8
349,16.0,18.0,34.0,0.3
350,21.0,16.0,37.0,0.8
351,8.0,2.0,10.0,0.9
352,17.0,18.0,35.0,0.9
353,13.0,0.0,13.0,0.5
354,18.0,14.0,32.0,0.6
355,16.0,0.0,16.0,0.7
356,13.0,2.0,15.0,0.3
357,9.0,2.0,11.0,0.8
358,8.0,7.0,15.0,0.8
359,16.0,15.0,31.0,0.5
360,12.0,1.0,13.0,0.6
361,13.0,1.0,14.0,0.7
362,17.0,23.0,40.0,0.7
363,10.0,9.0,19.0,0.2
364,8.0,8.0,16.0,0.8
365,15.0,8.0,23.0,0.3
366,10.0,9.0,19.0,0.7
367,7.0,1.0,8.0,0.4
368,15.0,0.0,15.0,0.2
369,12.0,3.0,15.0,0.8
370,20.0,13.0,33.0,0.2
371,2.0,6.0,8.0,0.3
372,15.0,9.0,24.0,1.0
373,15.0,23.0,38.0,0.6
374,18.0,0.0,18.0,0.6
375,19.0,1.0,20.0,0.9
376,14.0,18.0,32.0,0.4
377,18.0,0.0,18.0,0.3
378,9.0,12.0,21.0,0.5
379,12.0,7.0,19.0,0.6
380,10.0,1.0,11.0,0.1
381,18.0,13.0,31.0,0.4
382,17.0,19.0,36.0,0.2
383,17.0,18.0,35.0,0.2
384,18.0,12.0,30.0,0.4
385,19.0,12.0,31.0,0.5
386,11.0,1.0,12.0,1.0
387,7.0,11.0,18.0,0.2
388,9.0,2.0,11.0,0.5
389,13.0,6.0,19.0,0.9
390,22.0,17.0,39.0,0.6
391,9.0,6.0,15.0,0.9
392,16.0,15.0,31.0,0.2
393,7.0,10.0,17.0,0.8
394,9.0,0.0,9.0,0.4
395,14.0,0.0,14.0,0.2
396,10.0,0.0,10.0,0.3
397,18.0,0.0,18.0,1.0
398,16.0,1.0,17.0,0.4
399,9.0,3.0,12.0,0.8
400,11.0,2.0,13.0,0.2
401,8.0,9.0,17.0,0.4
402,14.0,0.0,14.0,0.7
403,15.0,0.0,15.0,0.9
404,20.0,1.0,21.0,0.5
405,14.0,3.0,17.0,0.7
406,10.0,1.0,11.0,1.0
407,9.0,9.0,18.0,0.4
408,20.0,15.0,35.0,0.8
409,11.0,2.0,13.0,0.4
410,13.0,1.0,14.0,0.6
411,17.0,12.0,29.0,0.3
412,24.0,0.0,24.0,0.6
413,21.0,22.0,43.0,0.3
414,15.0,1.0,16.0,0.2
415,8.0,9.0,17.0,0.7
416,20.0,0.0,20.0,0.3
417,9.0,5.0,14.0,0.8
418,8.0,1.0,9.0,0.8
419,14.0,1.0,15.0,0.5
420,18.0,20.0,38.0,0.5
421,9.0,9.0,18.0,0.5
422,9.0,4.0,13.0,0.4
423,12.0,2.0,14.0,0.5
424,18.0,16.0,34.0,0.8
425,9.0,0.0,9.0,0.2
426,9.0,2.0,11.0,0.7
427,21.0,8.0,29.0,0.5
428,15.0,1.0,16.0,1.0
429,17.0,1.0,18.0,1.0
430,14.0,5.0,19.0,0.8
431,21.0,22.0,43.0,0.5
432,18.0,14.0,32.0,0.3
433,15.0,0.0,15.0,0.3
434,17.0,22.0,39.0,0.6
435,16.0,3.0,19.0,0.8
436,18.0,18.0,36.0,0.8
437,12.0,21.0,33.0,0.4
438,13.0,3.0,16.0,0.7
439,16.0,1.0,17.0,0.5
440,17.0,15.0,32.0,0.2
441,9.0,0.0,9.0,0.9
442,18.0,13.0,31.0,0.4
443,9.0,4.0,13.0,0.6
444,9.0,0.0,9.0,0.4
445,15.0,2.0,17.0,0.1
446,12.0,0.0,12.0,0.9
447,20.0,15.0,35.0,0.4
448,10.0,21.0,31.0,0.7
449,13.0,0.0,13.0,0.9
450,18.0,0.0,18.0,0.8
451,17.0,0.0,17.0,0.9
452,15.0,3.0,18.0,0.3
453,17.0,3.0,20.0,0.4
454,15.0,21.0,36.0,0.6
455,17.0,19.0,36.0,0.6
456,12.0,3.0,15.0,0.7
457,19.0,13.0,32.0,0.5
458,23.0,23.0,46.0,0.3
459,18.0,3.0,21.0,0.2
460,16.0,3.0,19.0,0.7
461,9.0,2.0,11.0,1.0
462,9.0,3.0,12.0,0.3
463,16.0,0.0,16.0,0.4
464,16.0,0.0,16.0,0.5
465,6.0,9.0,15.0,0.5
466,12.0,0.0,12.0,0.5
467,12.0,0.0,12.0,0.4
468,8.0,8.0,16.0,0.4
469,10.0,8.0,18.0,0.5
470,13.0,1.0,14.0,0.4
471,7.0,12.0,19.0,0.9
472,10.0,9.0,19.0,0.2
473,16.0,4.0,20.0,0.4
474,19.0,0.0,19.0,0.5
475,17.0,1.0,18.0,0.1
476,9.0,12.0,21.0,1.0
477,16.0,1.0,17.0,0.5
478,8.0,9.0,17.0,1.0
479,15.0,18.0,33.0,0.9
480,11.0,21.0,32.0,0.6
481,24.0,8.0,32.0,0.6
482,11.0,2.0,13.0,0.6
483,8.0,8.0,16.0,0.7
484,18.0,13.0,31.0,0.2
485,21.0,4.0,25.0,0.2
486,10.0,9.0,19.0,0.8
487,18.0,13.0,31.0,0.3
488,19.0,22.0,41.0,0.8
489,18.0,21.0,39.0,0.7
490,23.0,18.0,41.0,0.9
491,17.0,0.0,17.0,0.9
492,14.0,0.0,14.0,0.3
493,15.0,0.0,15.0,1.0
494,20.0,10.0,30.0,0.5
495,20.0,13.0,33.0,0.8
496,19.0,12.0,31.0,1.0
497,14.0,19.0,33.0,1.0
498,9.0,9.0,18.0,0.2
499,20.0,16.0,36.0,0.3
500,21.0,10.0,31.0,0.6
501,9.0,0.0,9.0,0.5
502,22.0,13.0,35.0,0.6
503,12.0,0.0,12.0,0.8
504,12.0,21.0,33.0,0.2
505,20.0,8.0,28.0,0.6
506,16.0,17.0,33.0,0.6
507,13.0,0.0,13.0,0.4
508,12.0,22.0,34.0,0.1
509,13.0,1.0,14.0,0.5
510,14.0,1.0,15.0,0.6
511,16.0,0.0,16.0,0.6
512,16.0,20.0,36.0,0.4
513,14.0,0.0,14.0,0.9
514,23.0,17.0,40.0,0.5
515,19.0,3.0,22.0,0.6
516,12.0,1.0,13.0,0.4
517,24.0,6.0,30.0,0.4
518,11.0,0.0,11.0,0.7
519,12.0,0.0,12.0,0.3
520,12.0,22.0,34.0,0.5
521,17.0,2.0,19.0,0.9
522,8.0,7.0,15.0,0.4
523,13.0,0.0,13.0,0.5
524,14.0,2.0,16.0,0.2
525,14.0,5.0,19.0,0.9
526,16.0,16.0,32.0,0.7
527,11.0,2.0,13.0,0.6
528,9.0,0.0,9.0,0.8
529,12.0,0.0,12.0,0.6
530,12.0,3.0,15.0,0.8
531,9.0,2.0,11.0,0.7
532,16.0,18.0,34.0,0.7
533,7.0,12.0,19.0,0.4
534,18.0,21.0,39.0,0.2
535,11.0,1.0,12.0,0.5
536,15.0,3.0,18.0,1.0
537,13.0,4.0,17.0,0.4
538,19.0,3.0,22.0,0.5
539,10.0,7.0,17.0,0.2
540,16.0,0.0,16.0,0.1
541,16.0,22.0,38.0,0.8
542,20.0,11.0,31.0,0.3
543,16.0,12.0,28.0,0.8
544,19.0,0.0,19.0,0.4
545,22.0,11.0,33.0,0.5
546,12.0,1.0,13.0,1.0
547,16.0,14.0,30.0,0.2
548,8.0,1.0,9.0,0.7
549,14.0,4.0,18.0,0.4
550,23.0,9.0,32.0,0.7
551,9.0,3.0,12.0,0.8
552,18.0,14.0,32.0,0.8
553,14.0,1.0,15.0,0.5
554,8.0,0.0,8.0,0.9
555,8.0,4.0,12.0,0.3
556,13.0,1.0,14.0,1.0
557,17.0,22.0,39.0,0.9
558,15.0,1.0,16.0,0.5
559,10.0,2.0,12.0,0.9
560,14.0,15.0,29.0,0.3
561,17.0,0.0,17.0,0.9
562,16.0,1.0,17.0,0.3
563,18.0,0.0,18.0,0.5
564,9.0,1.0,10.0,0.2
565,20.0,0.0,20.0,0.6
566,13.0,4.0,17.0,0.5
567,13.0,5.0,18.0,0.5
568,19.0,12.0,31.0,0.4
569,11.0,21.0,32.0,0.4
570,18.0,23.0,41.0,0.5
571,12.0,22.0,34.0,0.5
572,9.0,1.0,10.0,0.6
573,16.0,15.0,31.0,0.7
574,10.0,8.0,18.0,0.4
575,12.0,0.0,12.0,0.4
576,12.0,20.0,32.0,0.7
577,17.0,18.0,35.0,0.2
578,20.0,10.0,30.0,0.5
579,19.0,0.0,19.0,0.9
580,12.0,1.0,13.0,0.7
581,19.0,14.0,33.0,0.2
582,18.0,12.0,30.0,0.8
583,11.0,23.0,34.0,0.4
584,8.0,2.0,10.0,0.4
585,10.0,23.0,33.0,0.6
586,11.0,0.0,11.0,0.8
587,18.0,2.0,20.0,0.7
588,23.0,12.0,35.0,0.6
589,19.0,0.0,19.0,0.6
590,11.0,22.0,33.0,0.4
591,17.0,14.0,31.0,0.5
592,12.0,0.0,12.0,0.4
593,13.0,1.0,14.0,0.9
594,14.0,0.0,14.0,0.7
595,16.0,21.0,37.0,0.4
596,19.0,4.0,23.0,0.4
597,11.0,1.0,12.0,0.9
598,16.0,20.0,36.0,0.5
599,16.0,15.0,31.0,0.1
600,9.0,6.0,15.0,0.8
601,13.0,22.0,35.0,0.3
602,19.0,0.0,19.0,0.5
603,12.0,0.0,12.0,0.5
604,16.0,0.0,16.0,0.4
605,12.0,6.0,18.0,0.9
606,16.0,6.0,22.0,1.0
607,11.0,23.0,34.0,0.3
608,19.0,0.0,19.0,0.3
609,9.0,1.0,10.0,0.2
610,13.0,2.0,15.0,0.4
611,9.0,2.0,11.0,0.3
612,13.0,21.0,34.0,0.9
613,20.0,15.0,35.0,0.5
614,18.0,14.0,32.0,0.6
615,20.0,12.0,32.0,0.1
616,13.0,1.0,14.0,0.8
617,13.0,0.0,13.0,0.6
618,13.0,1.0,14.0,0.8
619,3.0,9.0,12.0,0.4
620,10.0,0.0,10.0,0.7
621,21.0,14.0,35.0,0.9
622,9.0,23.0,32.0,0.7
623,7.0,0.0,7.0,0.4
624,14.0,2.0,16.0,0.5
625,13.0,0.0,13.0,0.4
626,18.0,13.0,31.0,0.4
627,19.0,13.0,32.0,0.4
628,11.0,0.0,11.0,1.0
629,19.0,1.0,20.0,0.5
630,16.0,18.0,34.0,0.5
631,12.0,0.0,12.0,0.5
632,9.0,8.0,17.0,0.3
633,18.0,0.0,18.0,0.3
634,13.0,1.0,14.0,0.9
635,9.0,5.0,14.0,0.8
636,21.0,3.0,24.0,0.4
637,15.0,19.0,34.0,0.6
638,15.0,17.0,32.0,0.5
639,17.0,13.0,30.0,0.8
640,13.0,0.0,13.0,0.3
641,16.0,9.0,25.0,0.4
642,18.0,0.0,18.0,0.9
643,6.0,6.0,12.0,0.9
644,21.0,11.0,32.0,0.9
645,8.0,9.0,17.0,0.4
646,9.0,8.0,17.0,0.9
647,15.0,19.0,34.0,0.5
648,14.0,2.0,16.0,0.3
649,9.0,1.0,10.0,1.0
650,8.0,0.0,8.0,0.4
651,12.0,5.0,17.0,0.7
652,12.0,0.0,12.0,0.5
653,19.0,21.0,40.0,0.1
654,15.0,0.0,15.0,0.6
655,11.0,6.0,17.0,0.9
656,9.0,4.0,13.0,0.4
657,19.0,1.0,20.0,0.1
658,10.0,22.0,32.0,0.5
659,11.0,23.0,34.0,0.7
660,8.0,8.0,16.0,0.3
661,12.0,0.0,12.0,0.3
662,15.0,0.0,15.0,0.9
663,8.0,5.0,13.0,0.4
664,15.0,0.0,15.0,0.3
665,9.0,3.0,12.0,0.9
666,8.0,2.0,10.0,0.6
667,21.0,10.0,31.0,0.5
668,20.0,0.0,20.0,0.7
669,9.0,1.0,10.0,0.3
670,12.0,4.0,16.0,0.6
671,18.0,22.0,40.0,0.6
672,9.0,8.0,17.0,0.7
673,20.0,13.0,33.0,0.9
674,20.0,20.0,40.0,0.8
675,13.0,2.0,15.0,0.4
676,13.0,0.0,13.0,0.2
677,18.0,1.0,19.0,0.3
678,18.0,17.0,35.0,0.1
679,16.0,1.0,17.0,0.6
680,19.0,1.0,20.0,0.7
681,17.0,14.0,31.0,0.6
682,12.0,1.0,13.0,0.3
683,15.0,19.0,34.0,0.8
684,18.0,13.0,31.0,0.6
685,6.0,8.0,14.0,0.9
686,8.0,1.0,9.0,0.7
687,9.0,1.0,10.0,0.7
688,9.0,1.0,10.0,0.8
689,14.0,23.0,37.0,0.7
690,14.0,0.0,14.0,0.9
691,18.0,18.0,36.0,0.8
692,22.0,10.0,32.0,0.2
693,10.0,2.0,12.0,0.6
694,8.0,8.0,16.0,0.8
695,20.0,12.0,32.0,0.2
696,16.0,15.0,31.0,1.0
697,10.0,0.0,10.0,0.9
698,12.0,0.0,12.0,0.4
699,10.0,0.0,10.0,0.3
700,21.0,9.0,30.0,0.1
701,14.0,0.0,14.0,0.5
702,9.0,12.0,21.0,0.6
703,18.0,17.0,35.0,0.5
704,19.0,23.0,42.0,0.6
705,13.0,21.0,34.0,0.5
706,16.0,0.0,16.0,0.3
707,14.0,0.0,14.0,0.7
708,7.0,1.0,8.0,0.5
709,15.0,1.0,16.0,0.2
710,20.0,15.0,35.0,0.6
711,12.0,1.0,13.0,0.6
712,21.0,9.0,30.0,0.4
713,12.0,1.0,13.0,0.6
714,5.0,8.0,13.0,0.5
715,19.0,10.0,29.0,0.5
716,15.0,0.0,15.0,0.9
717,19.0,22.0,41.0,0.4
718,8.0,0.0,8.0,0.2
719,15.0,9.0,24.0,0.4
720,20.0,1.0,21.0,0.3
721,14.0,0.0,14.0,0.6
722,16.0,2.0,18.0,0.9
723,10.0,8.0,18.0,0.1
724,9.0,3.0,12.0,1.0
725,12.0,0.0,12.0,0.9
726,16.0,0.0,16.0,0.1
727,13.0,19.0,32.0,0.6
728,18.0,0.0,18.0,0.4
729,9.0,7.0,16.0,0.2
730,23.0,15.0,38.0,0.8
731,11.0,1.0,12.0,0.2
732,21.0,9.0,30.0,0.1
733,3.0,6.0,9.0,0.1
734,12.0,3.0,15.0,0.7
735,20.0,0.0,20.0,0.1
736,14.0,5.0,19.0,0.8
737,10.0,3.0,13.0,0.9
738,15.0,1.0,16.0,0.4
739,20.0,2.0,22.0,0.8
740,14.0,1.0,15.0,0.8
741,15.0,2.0,17.0,0.5
742,16.0,17.0,33.0,0.4
743,11.0,1.0,12.0,0.6
744,16.0,1.0,17.0,0.2
745,23.0,8.0,31.0,0.9
746,10.0,0.0,10.0,0.8
747,12.0,22.0,34.0,0.3
748,11.0,1.0,12.0,0.6
749,10.0,7.0,17.0,0.8
750,13.0,0.0,13.0,0.5
751,15.0,0.0,15.0,0.4
752,16.0,0.0,16.0,0.5
753,8.0,0.0,8.0,0.7
754,18.0,1.0,19.0,0.8
755,12.0,0.0,12.0,0.4
756,18.0,14.0,32.0,0.9
757,17.0,23.0,40.0,0.7
758,18.0,19.0,37.0,0.9
759,8.0,8.0,16.0,0.2
760,19.0,1.0,20.0,0.6
761,17.0,23.0,40.0,0.5
762,7.0,12.0,19.0,0.4
763,7.0,0.0,7.0,0.3
764,9.0,3.0,12.0,0.3
765,15.0,19.0,34.0,0.8
766,13.0,0.0,13.0,0.4
767,6.0,9.0,15.0,0.6
768,14.0,0.0,14.0,0.2
769,18.0,10.0,28.0,0.9
770,6.0,1.0,7.0,0.9
771,19.0,1.0,20.0,0.5
772,18.0,13.0,31.0,0.3
773,9.0,8.0,17.0,0.3
774,20.0,14.0,34.0,0.6
775,12.0,1.0,13.0,0.4
